Learner_ID,Enrollment_Date,Cohort_Month,Course_Category,Plan_Type,Plan_Fee_INR,Payment_Method,Lead_Source,Device_Type,Employment_Status,Age,Gender,City_Tier,Program_Duration_Weeks,Status,Completion_Pct,Dropout_Week,Dropout_Reason,Last_Active_Date,Videos_Watched,Assignments_Submitted,Mentor_Sessions,Avg_Weekly_Hours,Login_Days_Per_Week,NPS_Score,Placement_Eligible,Placed,Placement_Salary_INR,Placement_Company_Tier
LRN-10019,2023-09-09,2023-09,Web Development,Monthly,2999,UPI,Referral,Desktop,Working Professional,36,Other,Tier 1,20,Completed,97.6,,,2024-01-27,65,19,5,12.4,5.7,9,True,False,,
LRN-10020,2022-01-28,2022-01,Digital Marketing,Monthly,2999,Credit Card,Referral,Mobile,Student,27,Other,Tier 3,16,Completed,97.1,,,2022-05-20,44,13,9,7.8,5.2,8,True,True,1036406.0,Startup
LRN-10021,2023-07-29,2023-07,Digital Marketing,Monthly,2999,Debit Card,Email Campaign,Desktop,Working Professional,24,Other,Tier 2,16,Completed,98.6,,,2023-11-18,55,13,12,13.9,6.4,7,True,False,,
LRN-10022,2022-07-23,2022-07,Data Science & Analytics,Annual,24999,Credit Card,Paid Ads,Mobile,Freelancer,26,Male,Tier 2,24,Completed,97.5,,,2023-01-07,83,19,11,11.3,3.5,10,True,True,905134.0,Tier 3
LRN-10023,2023-10-28,2023-10,Digital Marketing,Monthly,2999,Debit Card,Paid Ads,Tablet,Student,22,Other,Tier 1,16,Completed,97.6,,,2024-02-17,51,14,10,6.6,6.4,10,True,True,1081105.0,Tier 2
LRN-10024,2023-12-20,2023-12,Data Science & Analytics,Quarterly,7999,Credit Card,Organic Search,Mobile,Working Professional,20,Other,Tier 1,24,Completed,97.5,,,2024-06-05,87,24,9,10.5,6.1,7,True,False,,
LRN-10025,2023-07-13,2023-07,Data Science & Analytics,Monthly,2999,Debit Card,Social Media,Tablet,Working Professional,27,Other,Tier 2,24,Completed,99.6,,,2023-12-28,80,19,7,10.7,5.8,10,True,False,,
LRN-10026,2023-03-06,2023-03,Digital Marketing,Monthly,2999,UPI,Referral,Desktop,Working Professional,36,Female,Tier 1,16,Dropped,50.0,8.0,Technical issues,2023-05-01,3,4,2,0.7,1.6,1,False,False,,
LRN-10027,2022-08-14,2022-08,Digital Marketing,Quarterly,7999,Debit Card,Email Campaign,Mobile,Working Professional,33,Female,Tier 1,16,Completed,96.9,,,2022-12-04,45,16,10,6.7,5.4,8,True,False,,
LRN-10028,2023-04-05,2023-04,Data Science & Analytics,Monthly,2999,Debit Card,Paid Ads,Desktop,Freelancer,29,Female,Tier 1,24,Completed,96.5,,,2023-09-20,83,21,5,7.1,4.1,10,True,True,887333.0,Tier 2
LRN-10029,2023-08-27,2023-08,Data Science & Analytics,Monthly,2999,Credit Card,Referral,Desktop,Job Seeker,19,Female,Tier 1,24,Dropped,37.5,9.0,Financial reasons,2023-10-29,8,4,1,3.6,0.9,3,False,False,,
LRN-10030,2022-10-12,2022-10,Digital Marketing,Monthly,2999,UPI,Organic Search,Mobile,Working Professional,34,Male,Tier 1,16,Active,75.0,,,2023-01-04,33,8,5,4.4,2.4,7,False,False,,
LRN-10031,2022-01-07,2022-01,Data Science & Analytics,Annual,24999,Net Banking,Paid Ads,Mobile,Job Seeker,33,Female,Tier 1,24,Dropped,29.2,7.0,Financial reasons,2022-02-25,3,2,2,3.2,2.2,4,False,False,,
LRN-10032,2022-06-13,2022-06,Digital Marketing,Monthly,2999,Debit Card,Email Campaign,Mobile,Working Professional,34,Other,Tier 2,16,Completed,96.4,,,2022-10-03,52,14,5,13.5,4.1,8,True,False,,
LRN-10033,2023-12-16,2023-12,Data Science & Analytics,Annual,24999,Debit Card,Email Campaign,Mobile,Freelancer,21,Female,Tier 2,24,Completed,96.5,,,2024-06-01,76,24,6,11.7,5.9,7,True,True,976979.0,Tier 3
LRN-10034,2023-03-09,2023-03,UI/UX Design,Quarterly,7999,Debit Card,Social Media,Desktop,Working Professional,36,Other,Tier 2,18,Completed,98.8,,,2023-07-13,66,16,6,11.2,3.6,10,True,False,,
LRN-10035,2022-12-15,2022-12,Digital Marketing,Annual,24999,Debit Card,Organic Search,Mobile,Student,35,Other,Tier 2,16,Completed,97.2,,,2023-04-06,52,15,12,7.2,6.5,10,True,True,786181.0,Startup
LRN-10036,2022-10-12,2022-10,Data Science & Analytics,Monthly,2999,UPI,Social Media,Mobile,Freelancer,35,Female,Tier 1,24,Completed,98.6,,,2023-03-29,88,21,5,8.4,5.9,7,True,True,709743.0,Tier 3
LRN-10037,2022-06-09,2022-06,Web Development,Annual,24999,UPI,Social Media,Desktop,Working Professional,32,Female,Tier 1,20,Completed,95.9,,,2022-10-27,70,19,10,6.2,5.3,8,True,True,800418.0,Tier 2
LRN-10038,2022-08-09,2022-08,Web Development,Monthly,2999,Credit Card,Referral,Desktop,Working Professional,30,Female,Tier 1,20,Completed,98.4,,,2022-12-27,65,20,9,10.8,5.3,7,True,True,830101.0,Tier 3
LRN-10039,2022-12-11,2022-12,Digital Marketing,Annual,24999,Credit Card,Referral,Mobile,Student,22,Male,Tier 1,16,Completed,96.9,,,2023-04-02,59,13,10,9.4,5.0,8,True,True,863426.0,Tier 2
LRN-10040,2022-04-15,2022-04,Web Development,Monthly,2999,Debit Card,Referral,Desktop,Job Seeker,34,Male,Tier 1,20,Completed,97.8,,,2022-09-02,70,19,10,11.5,4.7,10,True,True,436686.0,Tier 3
LRN-10041,2022-04-05,2022-04,Web Development,Monthly,2999,Net Banking,Organic Search,Mobile,Freelancer,37,Other,Tier 2,20,Dropped,20.0,4.0,Financial reasons,2022-05-03,2,1,2,2.9,2.4,4,False,False,,
LRN-10042,2023-01-25,2023-01,Web Development,Annual,24999,Credit Card,Paid Ads,Desktop,Student,20,Female,Tier 1,20,Dropped,5.0,1.0,Poor mentor support,2023-02-01,1,0,1,4.1,2.0,3,False,False,,
LRN-10043,2022-04-10,2022-04,UI/UX Design,Monthly,2999,UPI,Paid Ads,Desktop,Freelancer,37,Female,Tier 2,18,Dropped,5.6,1.0,Technical issues,2022-04-17,2,1,2,4.8,1.8,1,False,False,,
LRN-10044,2023-01-03,2023-01,Web Development,Annual,24999,Debit Card,Email Campaign,Tablet,Job Seeker,23,Other,Tier 3,20,Completed,98.6,,,2023-05-23,76,17,10,9.9,5.2,9,True,False,,
LRN-10045,2022-12-19,2022-12,UI/UX Design,Monthly,2999,Credit Card,Social Media,Desktop,Working Professional,30,Female,Tier 3,18,Completed,95.0,,,2023-04-24,69,14,11,11.1,5.6,7,True,False,,
LRN-10046,2023-09-11,2023-09,UI/UX Design,Monthly,2999,Debit Card,Paid Ads,Mobile,Working Professional,28,Female,Tier 2,18,Completed,99.3,,,2024-01-15,70,16,4,6.4,5.4,10,True,True,515657.0,Tier 2
LRN-10047,2022-09-28,2022-09,Data Science & Analytics,Annual,24999,Debit Card,Organic Search,Desktop,Student,28,Male,Tier 3,24,Dropped,4.2,1.0,Lost interest,2022-10-05,3,0,2,3.5,2.1,1,False,False,,
LRN-10048,2022-02-14,2022-02,UI/UX Design,Quarterly,7999,UPI,Social Media,Mobile,Student,25,Female,Tier 1,18,Completed,97.6,,,2022-06-20,59,14,4,11.6,6.0,10,True,False,,
LRN-10049,2023-04-16,2023-04,UI/UX Design,Monthly,2999,Debit Card,Organic Search,Desktop,Student,30,Female,Tier 1,18,Dropped,44.4,8.0,Content too difficult,2023-06-11,5,0,0,3.2,0.9,3,False,False,,
LRN-10050,2023-07-04,2023-07,Web Development,Quarterly,7999,UPI,Email Campaign,Desktop,Working Professional,25,Male,Tier 3,20,Completed,95.6,,,2023-11-21,73,19,9,13.7,4.4,8,True,True,1025933.0,Tier 1
LRN-10051,2022-05-08,2022-05,Digital Marketing,Quarterly,7999,Credit Card,Paid Ads,Desktop,Working Professional,35,Other,Tier 2,16,Dropped,12.5,2.0,Lack of time,2022-05-22,2,1,3,1.0,1.7,5,False,False,,
LRN-10052,2023-01-23,2023-01,Data Science & Analytics,Quarterly,7999,Credit Card,Email Campaign,Tablet,Student,37,Female,Tier 1,24,Dropped,45.8,11.0,Poor mentor support,2023-04-10,3,0,0,0.6,1.0,1,False,False,,
LRN-10053,2022-03-22,2022-03,UI/UX Design,Quarterly,7999,Debit Card,Social Media,Mobile,Working Professional,36,Other,Tier 1,18,Completed,95.4,,,2022-07-26,51,15,12,8.6,5.3,7,True,True,808737.0,Tier 3
LRN-10054,2023-07-20,2023-07,Web Development,Monthly,2999,Credit Card,Email Campaign,Mobile,Working Professional,20,Female,Tier 2,20,Dropped,5.0,1.0,Lack of time,2023-07-27,2,0,1,2.7,1.4,5,False,False,,
LRN-10055,2022-10-28,2022-10,Digital Marketing,Monthly,2999,UPI,Paid Ads,Desktop,Freelancer,22,Male,Tier 1,16,Completed,97.6,,,2023-02-17,48,16,5,10.0,5.0,7,True,True,944423.0,Tier 2
LRN-10056,2023-10-06,2023-10,Web Development,Monthly,2999,Credit Card,Paid Ads,Desktop,Student,35,Male,Tier 1,20,Dropped,10.0,2.0,Got a job / no longer needed,2023-10-20,3,1,1,1.3,2.9,1,False,False,,
LRN-10057,2023-09-26,2023-09,UI/UX Design,Monthly,2999,UPI,Social Media,Desktop,Student,21,Other,Tier 1,18,Completed,99.5,,,2024-01-30,50,15,12,13.9,6.4,7,True,False,,
LRN-10058,2023-01-06,2023-01,Digital Marketing,Quarterly,7999,Net Banking,Social Media,Desktop,Student,25,Female,Tier 2,16,Completed,98.1,,,2023-04-28,54,14,11,14.0,5.8,8,True,True,779954.0,Tier 1
LRN-10059,2023-08-15,2023-08,Digital Marketing,Quarterly,7999,Credit Card,Email Campaign,Mobile,Working Professional,28,Male,Tier 1,16,Active,43.8,,,2023-10-03,17,2,2,8.0,2.3,6,False,False,,
LRN-10060,2022-07-16,2022-07,UI/UX Design,Quarterly,7999,Net Banking,Social Media,Desktop,Working Professional,35,Male,Tier 2,18,Completed,98.0,,,2022-11-19,46,17,6,7.9,4.3,9,True,False,,
LRN-10061,2023-12-23,2023-12,UI/UX Design,Quarterly,7999,Net Banking,Social Media,Mobile,Student,25,Male,Tier 2,18,Completed,95.8,,,2024-04-27,50,17,11,8.5,3.9,9,True,False,,
LRN-10062,2022-03-13,2022-03,Web Development,Monthly,2999,Debit Card,Social Media,Mobile,Student,28,Other,Tier 2,20,Completed,99.2,,,2022-07-31,60,17,5,11.7,6.4,10,True,True,1060078.0,Tier 2
LRN-10063,2022-02-16,2022-02,Web Development,Monthly,2999,Debit Card,Paid Ads,Desktop,Working Professional,22,Female,Tier 1,20,Dropped,5.0,1.0,Lack of time,2022-02-23,2,0,1,4.2,1.4,1,False,False,,
LRN-10064,2023-11-09,2023-11,Digital Marketing,Annual,24999,Credit Card,Organic Search,Mobile,Job Seeker,33,Male,Tier 1,16,Dropped,56.2,9.0,Lack of time,2024-01-11,2,3,0,1.3,1.9,4,False,False,,
LRN-10065,2022-08-22,2022-08,UI/UX Design,Monthly,2999,Debit Card,Organic Search,Mobile,Student,27,Female,Tier 3,18,Completed,98.1,,,2022-12-26,52,16,11,9.3,5.2,7,True,True,751620.0,Tier 1
LRN-10066,2022-10-24,2022-10,Web Development,Quarterly,7999,UPI,Referral,Desktop,Freelancer,31,Other,Tier 1,20,Dropped,20.0,4.0,Financial reasons,2022-11-21,6,1,2,1.3,1.3,2,False,False,,
LRN-10067,2022-03-23,2022-03,Data Science & Analytics,Annual,24999,Net Banking,Organic Search,Tablet,Working Professional,37,Male,Tier 3,24,Completed,98.3,,,2022-09-07,77,23,4,12.1,6.3,10,True,True,532150.0,Tier 2
LRN-10068,2022-08-27,2022-08,Digital Marketing,Annual,24999,Net Banking,Email Campaign,Mobile,Freelancer,37,Other,Tier 1,16,Active,87.5,,,2022-12-03,36,9,2,6.4,2.3,6,False,False,,
LRN-10069,2022-04-14,2022-04,Web Development,Monthly,2999,Debit Card,Organic Search,Tablet,Student,23,Female,Tier 2,20,Active,55.0,,,2022-06-30,17,4,2,7.1,5.2,6,False,False,,
LRN-10070,2023-01-25,2023-01,Digital Marketing,Annual,24999,Net Banking,Paid Ads,Desktop,Working Professional,29,Female,Tier 1,16,Active,75.0,,,2023-04-19,31,10,6,9.7,4.3,6,False,False,,
LRN-10071,2022-10-12,2022-10,Digital Marketing,Monthly,2999,UPI,Social Media,Desktop,Student,24,Other,Tier 1,16,Dropped,31.2,5.0,Poor mentor support,2022-11-16,10,0,1,3.2,2.8,5,False,False,,
LRN-10072,2023-04-10,2023-04,Web Development,Quarterly,7999,Credit Card,Email Campaign,Mobile,Freelancer,26,Female,Tier 3,20,Completed,99.4,,,2023-08-28,52,18,11,6.1,4.1,7,True,True,1175250.0,Tier 1
LRN-10073,2023-10-13,2023-10,Data Science & Analytics,Monthly,2999,Debit Card,Paid Ads,Tablet,Job Seeker,34,Female,Tier 1,24,Completed,99.1,,,2024-03-29,96,24,7,7.3,3.7,7,True,True,684198.0,Tier 2
LRN-10074,2023-01-09,2023-01,Data Science & Analytics,Monthly,2999,UPI,Paid Ads,Mobile,Student,21,Female,Tier 2,24,Dropped,16.7,4.0,Lack of time,2023-02-06,7,2,1,3.2,1.6,1,False,False,,
LRN-10075,2022-06-16,2022-06,Data Science & Analytics,Monthly,2999,UPI,Social Media,Desktop,Job Seeker,36,Female,Tier 2,24,Completed,95.5,,,2022-12-01,85,23,12,12.7,4.0,9,True,True,441884.0,Tier 2
LRN-10076,2023-01-15,2023-01,UI/UX Design,Monthly,2999,Credit Card,Organic Search,Desktop,Job Seeker,34,Male,Tier 1,18,Completed,97.4,,,2023-05-21,66,16,5,11.1,4.7,9,True,False,,
LRN-10077,2022-12-30,2022-12,Digital Marketing,Monthly,2999,Credit Card,Social Media,Mobile,Student,27,Other,Tier 1,16,Dropped,37.5,6.0,Lack of time,2023-02-10,11,2,3,4.9,2.0,5,False,False,,
LRN-10078,2022-08-03,2022-08,Data Science & Analytics,Annual,24999,Debit Card,Email Campaign,Desktop,Job Seeker,37,Male,Tier 2,24,Completed,99.5,,,2023-01-18,62,23,12,12.4,5.5,8,True,True,1143969.0,Tier 2
LRN-10079,2023-11-18,2023-11,Web Development,Annual,24999,UPI,Organic Search,Mobile,Job Seeker,32,Male,Tier 3,20,Completed,99.2,,,2024-04-06,58,18,5,6.7,5.2,9,True,False,,
LRN-10080,2022-10-01,2022-10,UI/UX Design,Annual,24999,Credit Card,Paid Ads,Desktop,Working Professional,32,Male,Tier 1,18,Completed,97.9,,,2023-02-04,69,14,5,10.5,3.8,9,True,False,,
LRN-10081,2023-12-20,2023-12,Digital Marketing,Annual,24999,Net Banking,Social Media,Mobile,Working Professional,20,Male,Tier 1,16,Completed,98.0,,,2024-04-10,62,15,4,9.2,6.1,8,True,True,848302.0,Startup
LRN-10082,2023-12-01,2023-12,Digital Marketing,Monthly,2999,Net Banking,Social Media,Desktop,Job Seeker,22,Male,Tier 1,16,Active,50.0,,,2024-01-26,24,5,3,8.1,4.1,6,False,False,,
LRN-10083,2023-10-26,2023-10,Web Development,Monthly,2999,Debit Card,Paid Ads,Desktop,Job Seeker,20,Other,Tier 2,20,Completed,98.5,,,2024-03-14,62,17,12,13.0,3.6,8,True,False,,
LRN-10084,2022-03-15,2022-03,Web Development,Annual,24999,UPI,Organic Search,Mobile,Working Professional,25,Female,Tier 1,20,Completed,97.0,,,2022-08-02,79,16,4,7.9,5.0,10,True,True,847635.0,Tier 3
LRN-10085,2023-09-16,2023-09,Digital Marketing,Monthly,2999,Net Banking,Paid Ads,Desktop,Student,31,Male,Tier 1,16,Completed,99.8,,,2024-01-06,47,13,7,8.2,4.7,7,True,False,,
LRN-10086,2023-10-13,2023-10,Data Science & Analytics,Monthly,2999,UPI,Referral,Desktop,Student,27,Other,Tier 3,24,Completed,99.8,,,2024-03-29,77,22,10,12.8,4.9,8,True,True,1060091.0,Tier 3
LRN-10087,2022-06-25,2022-06,UI/UX Design,Quarterly,7999,Credit Card,Social Media,Desktop,Freelancer,30,Other,Tier 2,18,Dropped,11.1,2.0,Lack of time,2022-07-09,4,0,2,4.9,2.1,3,False,False,,
LRN-10088,2023-07-01,2023-07,Digital Marketing,Quarterly,7999,Net Banking,Organic Search,Mobile,Student,20,Other,Tier 1,16,Completed,95.7,,,2023-10-21,40,15,8,8.1,4.8,10,True,False,,
LRN-10089,2022-09-08,2022-09,Web Development,Monthly,2999,UPI,Referral,Desktop,Working Professional,30,Other,Tier 1,20,Completed,98.3,,,2023-01-26,67,17,8,6.8,3.9,9,True,False,,
LRN-10090,2022-06-17,2022-06,Web Development,Annual,24999,Net Banking,Referral,Mobile,Student,28,Female,Tier 2,20,Completed,96.3,,,2022-11-04,59,19,5,9.8,6.1,7,True,True,553993.0,Tier 3
LRN-10091,2023-04-19,2023-04,UI/UX Design,Quarterly,7999,Debit Card,Organic Search,Desktop,Student,25,Female,Tier 1,18,Completed,99.5,,,2023-08-23,59,15,9,12.9,4.0,7,True,True,1011685.0,Startup
LRN-10092,2023-01-24,2023-01,Digital Marketing,Quarterly,7999,Credit Card,Social Media,Mobile,Freelancer,37,Male,Tier 2,16,Dropped,6.2,1.0,Financial reasons,2023-01-31,2,1,3,2.4,1.7,1,False,False,,
LRN-10093,2022-10-04,2022-10,Data Science & Analytics,Quarterly,7999,Net Banking,Email Campaign,Desktop,Freelancer,35,Male,Tier 1,24,Completed,98.7,,,2023-03-21,74,24,9,8.5,3.8,9,True,True,397939.0,Tier 2
LRN-10094,2023-10-18,2023-10,Digital Marketing,Monthly,2999,Net Banking,Social Media,Desktop,Student,34,Female,Tier 2,16,Completed,99.5,,,2024-02-07,52,12,7,7.8,6.5,8,True,False,,
LRN-10095,2023-12-06,2023-12,Web Development,Monthly,2999,Credit Card,Social Media,Desktop,Freelancer,38,Male,Tier 2,20,Completed,95.5,,,2024-04-24,76,16,4,11.5,4.8,10,True,True,615015.0,Tier 3
LRN-10096,2023-07-25,2023-07,Web Development,Monthly,2999,Credit Card,Social Media,Desktop,Working Professional,27,Other,Tier 2,20,Completed,99.2,,,2023-12-12,53,20,5,8.3,5.9,10,True,True,559452.0,Tier 3
LRN-10097,2022-08-13,2022-08,Web Development,Monthly,2999,Debit Card,Social Media,Mobile,Working Professional,25,Other,Tier 3,20,Completed,95.0,,,2022-12-31,71,16,5,12.7,5.5,8,True,False,,
LRN-10098,2023-12-03,2023-12,Data Science & Analytics,Quarterly,7999,Credit Card,Email Campaign,Desktop,Working Professional,28,Female,Tier 2,24,Completed,95.9,,,2024-05-19,62,21,9,12.4,4.4,7,True,True,1145034.0,Startup
LRN-10099,2022-11-29,2022-11,Data Science & Analytics,Annual,24999,UPI,Social Media,Desktop,Job Seeker,27,Other,Tier 1,24,Dropped,8.3,2.0,Got a job / no longer needed,2022-12-13,4,1,2,4.3,2.2,4,False,False,,
LRN-10100,2022-02-27,2022-02,UI/UX Design,Quarterly,7999,UPI,Organic Search,Desktop,Student,24,Male,Tier 1,18,Completed,99.0,,,2022-07-03,66,17,6,10.9,5.8,7,True,False,,
LRN-10101,2022-08-23,2022-08,Web Development,Monthly,2999,Debit Card,Organic Search,Mobile,Student,27,Other,Tier 1,20,Dropped,35.0,7.0,Poor mentor support,2022-10-11,12,1,2,2.8,2.2,5,False,False,,
LRN-10102,2022-02-02,2022-02,Data Science & Analytics,Monthly,2999,UPI,Social Media,Desktop,Working Professional,23,Other,Tier 3,24,Dropped,4.2,1.0,Content too difficult,2022-02-09,4,1,1,0.8,1.7,2,False,False,,
LRN-10103,2022-11-20,2022-11,Digital Marketing,Annual,24999,Credit Card,Social Media,Desktop,Working Professional,26,Male,Tier 2,16,Dropped,18.8,3.0,Poor mentor support,2022-12-11,4,1,2,1.0,1.7,1,False,False,,
LRN-10104,2023-02-15,2023-02,Data Science & Analytics,Monthly,2999,Credit Card,Referral,Mobile,Student,38,Other,Tier 2,24,Active,75.0,,,2023-06-21,33,14,3,5.5,2.2,6,False,False,,
LRN-10105,2022-10-02,2022-10,UI/UX Design,Monthly,2999,Debit Card,Paid Ads,Mobile,Working Professional,22,Other,Tier 1,18,Completed,99.1,,,2023-02-05,70,16,12,10.2,5.6,7,True,False,,
LRN-10106,2022-03-09,2022-03,UI/UX Design,Monthly,2999,Debit Card,Organic Search,Desktop,Student,31,Male,Tier 2,18,Dropped,38.9,7.0,Lack of time,2022-04-27,13,3,0,4.7,2.6,5,False,False,,
LRN-10107,2022-08-05,2022-08,Data Science & Analytics,Quarterly,7999,Debit Card,Social Media,Desktop,Working Professional,34,Male,Tier 2,24,Completed,99.7,,,2023-01-20,90,23,6,11.5,4.0,8,True,True,1039461.0,Tier 3
LRN-10108,2023-08-04,2023-08,Digital Marketing,Quarterly,7999,Debit Card,Social Media,Desktop,Working Professional,26,Female,Tier 1,16,Completed,96.5,,,2023-11-24,44,13,10,10.8,6.2,9,True,False,,
LRN-10109,2022-11-19,2022-11,Digital Marketing,Quarterly,7999,UPI,Organic Search,Desktop,Student,30,Other,Tier 1,16,Dropped,93.8,15.0,Content too difficult,2023-03-04,17,5,0,3.9,1.9,5,False,False,,
LRN-10110,2022-08-06,2022-08,UI/UX Design,Quarterly,7999,Net Banking,Paid Ads,Mobile,Student,22,Male,Tier 1,18,Completed,95.3,,,2022-12-10,53,15,8,11.5,3.9,7,True,False,,
LRN-10111,2023-11-03,2023-11,Digital Marketing,Monthly,2999,Credit Card,Social Media,Mobile,Working Professional,36,Male,Tier 2,16,Completed,96.2,,,2024-02-23,62,14,4,13.4,4.7,9,True,False,,
LRN-10112,2023-05-27,2023-05,Data Science & Analytics,Monthly,2999,Net Banking,Organic Search,Desktop,Job Seeker,33,Male,Tier 3,24,Dropped,29.2,7.0,Poor mentor support,2023-07-15,10,1,1,1.8,0.9,1,False,False,,
LRN-10113,2023-02-10,2023-02,Web Development,Annual,24999,Credit Card,Social Media,Mobile,Working Professional,23,Male,Tier 2,20,Completed,96.7,,,2023-06-30,72,17,4,7.2,4.5,7,True,False,,
LRN-10114,2023-10-21,2023-10,Digital Marketing,Monthly,2999,Net Banking,Organic Search,Desktop,Working Professional,24,Other,Tier 1,16,Completed,97.1,,,2024-02-10,57,15,5,8.8,6.2,9,True,True,657835.0,Tier 2
LRN-10115,2023-04-15,2023-04,UI/UX Design,Annual,24999,Credit Card,Organic Search,Mobile,Student,38,Other,Tier 1,18,Completed,99.4,,,2023-08-19,57,14,10,8.1,5.7,7,True,False,,
LRN-10116,2022-05-27,2022-05,Digital Marketing,Quarterly,7999,Debit Card,Social Media,Mobile,Working Professional,29,Other,Tier 1,16,Completed,99.9,,,2022-09-16,64,16,12,6.1,3.7,8,True,False,,
LRN-10117,2022-09-29,2022-09,UI/UX Design,Annual,24999,UPI,Social Media,Desktop,Job Seeker,32,Other,Tier 3,18,Completed,98.4,,,2023-02-02,45,17,9,6.3,3.7,8,True,False,,
